item_key,label_key,description_key,code,code_system
moldVisible,label_moldVisible,desc_moldVisible,CHK001,http://healthyhomes.local/checklist
leakingPipes,label_leakingPipes,desc_leakingPipes,CHK002,http://healthyhomes.local/checklist
noVentilation,label_noVentilation,desc_noVentilation,CHK003,http://healthyhomes.local/checklist
pestDroppings,label_pestDroppings,desc_pestDroppings,CHK004,http://healthyhomes.local/checklist
electrical,label_electrical,desc_electrical,CHK005,http://healthyhomes.local/checklist
tripHazards,label_tripHazards,desc_tripHazards,CHK006,http://healthyhomes.local/checklist
leadPaint,label_leadPaint,desc_leadPaint,CHK007,http://healthyhomes.local/checklist
noSmokeAlarm,label_noSmokeAlarm,desc_noSmokeAlarm,CHK008,http://healthyhomes.local/checklist
noCOAlarm,label_noCOAlarm,desc_noCOAlarm,CHK009,http://healthyhomes.local/checklist
poorLighting,label_poorLighting,desc_poorLighting,CHK010,http://healthyhomes.local/checklist
coldDrafts,label_coldDrafts,desc_coldDrafts,CHK011,http://healthyhomes.local/checklist
overheating,label_overheating,desc_overheating,CHK012,http://healthyhomes.local/checklist
asbestos,label_asbestos,desc_asbestos,CHK013,http://healthyhomes.local/checklist
clutter,label_clutter,desc_clutter,CHK014,http://healthyhomes.local/checklist
noHotWater,label_noHotWater,desc_noHotWater,CHK015,http://healthyhomes.local/checklist
unsafeStairs,label_unsafeStairs,desc_unsafeStairs,CHK016,http://healthyhomes.local/checklist
waterHazards,label_waterHazards,desc_waterHazards,CHK017,http://healthyhomes.local/checklist
structuralDamage,label_structuralDamage,desc_structuralDamage,CHK018,http://healthyhomes.local/checklist
otherHazards,label_otherHazards,desc_otherHazards,CHK019,http://healthyhomes.local/checklist
windowSafety,label_windowSafety,desc_windowSafety,CHK020,http://healthyhomes.local/checklist
unstoredChemicals,label_unstoredChemicals,desc_unstoredChemicals,CHK021,http://healthyhomes.local/checklist
radonRisk,label_radonRisk,desc_radonRisk,CHK022,http://healthyhomes.local/checklist
fireEscape,label_fireEscape,desc_fireEscape,CHK023,http://healthyhomes.local/checklist
flammableStorage,label_flammableStorage,desc_flammableStorage,CHK024,http://healthyhomes.local/checklist
indoorPollution,label_indoorPollution,desc_indoorPollution,CHK025,http://healthyhomes.local/checklist
petDander,label_petDanger,desc_petDanger,CHK026,http://healthyhomes.local/checklist
fallPrevention,label_fallPrevention,desc_fallPrevention,CHK027,http://healthyhomes.local/checklist
