id,label_key,opt1_key,opt2_key,opt3_key,code,code_system
foodInsecurity,foodInsecurity_label,foodInsecurity_opt1,foodInsecurity_opt2,foodInsecurity_opt3,food-insecurity,http://loinc.org
housingStabilityAffordability,housingStabilityAffordability_label,housingStabilityAffordability_opt1,housingStabilityAffordability_opt2,housingStabilityAffordability_opt3,housing-stability,http://loinc.org
housingQualityMaintenance,housingQualityMaintenance_label,housingQualityMaintenance_opt1,housingQualityMaintenance_opt2,housingQualityMaintenance_opt3,housing-quality,http://loinc.org
utilityTransportBarriers,utilityTransportBarriers_label,utilityTransportBarriers_opt1,utilityTransportBarriers_opt2,utilityTransportBarriers_opt3,transportation-barriers,http://loinc.org
financialStrain,financialStrain_label,financialStrain_opt1,financialStrain_opt2,financialStrain_opt3,financial-strain,http://loinc.org
employmentStatus,employmentStatus_label,employmentStatus_opt1,employmentStatus_opt2,employmentStatus_opt3,employment-status,http://loinc.org
socialConnection,socialConnection_label,socialConnection_opt1,socialConnection_opt2,socialConnection_opt3,social-connection,http://loinc.org
educationLevel,educationLevel_label,educationLevel_opt1,educationLevel_opt2,educationLevel_opt3,education-level,http://loinc.org
healthcareAccess,healthcareAccess_label,healthcareAccess_opt1,healthcareAccess_opt2,healthcareAccess_opt3,healthcare-access,http://loinc.org
neighborhoodSafety,neighborhoodSafety_label,neighborhoodSafety_opt1,neighborhoodSafety_opt2,neighborhoodSafety_opt3,neighborhood-safety,http://loinc.org
languageBarrier,languageBarrier_label,languageBarrier_opt1,languageBarrier_opt2,languageBarrier_opt3,language-barrier,http://loinc.org
